Country,Region,Happiness Rank,Happiness Score,Standard Error,Family,Freedom,Generosity,Dystopia Residual,Year,Lower Confidence Interval,Upper Confidence Interval,Whisker.high,Whisker.low,country,happiness_rank,happiness_score,GDP,life_expectancy,freedom,generosity,government_corruption,dystopia_residual,family
Sri Lanka,Southern Asia,132.0,4.271,0.03751,1.01905,0.53726,0.40828,0.67108,2015,,,,,Sri Lanka,132.0,4.271,0.83524,0.70806,0.53726,0.40828,0.09179,0.67108,1.01905
Cameroon,Sub-Saharan Africa,133.0,4.252,0.04678,0.88767,0.49309,0.20618,1.95071,2015,,,,,Cameroon,133.0,4.252,0.4225,0.23402,0.49309,0.20618,0.05786,1.95071,0.88767
Bulgaria,Central and Eastern Europe,134.0,4.218,0.04828,1.10614,0.30587,0.11921,0.89991,2015,,,,,Bulgaria,134.0,4.218,1.01216,0.76649,0.30587,0.11921,0.00872,0.89991,1.10614
Egypt,Middle East and Northern Africa,135.0,4.194,0.0326,0.747,0.17288,0.11291,1.59927,2015,,,,,Egypt,135.0,4.194,0.8818,0.61712,0.17288,0.11291,0.06324,1.59927,0.747
Yemen,Middle East and Northern Africa,136.0,4.077,0.04367,0.68093,0.35571,0.09131,1.92313,2015,,,,,Yemen,136.0,4.077,0.54649,0.40064,0.35571,0.09131,0.07854,1.92313,0.68093
Angola,Sub-Saharan Africa,137.0,4.033,0.04758,0.8604,0.10384,0.12344,1.94939,2015,,,,,Angola,137.0,4.033,0.75778,0.16683,0.10384,0.12344,0.07122,1.94939,0.8604
Mali,Sub-Saharan Africa,138.0,3.995,0.05602,1.03526,0.38857,0.18798,1.79293,2015,,,,,Mali,138.0,3.995,0.26074,0.20583,0.38857,0.18798,0.12352,1.79293,1.03526
Congo (Brazzaville),Sub-Saharan Africa,139.0,3.989,0.06682,0.6629,0.41466,0.12388,1.68135,2015,,,,,Congo (Brazzaville),139.0,3.989,0.67866,0.31051,0.41466,0.12388,0.11686,1.68135,0.6629
Comoros,Sub-Saharan Africa,140.0,3.956,0.04797,0.79273,0.22917,0.17441,1.95812,2015,,,,,Comoros,140.0,3.956,0.23906,0.36315,0.22917,0.17441,0.199,1.95812,0.79273
Uganda,Sub-Saharan Africa,141.0,3.931,0.04317,1.13299,0.45727,0.29066,1.42766,2015,,,,,Uganda,141.0,3.931,0.21102,0.33861,0.45727,0.29066,0.07267,1.42766,1.13299
Senegal,Sub-Saharan Africa,142.0,3.904,0.03608,0.97619,0.36772,0.20843,1.44395,2015,,,,,Senegal,142.0,3.904,0.36498,0.4354,0.36772,0.20843,0.10713,1.44395,0.97619
Gabon,Sub-Saharan Africa,143.0,3.896,0.04547,0.90528,0.31914,0.06822,0.99895,2015,,,,,Gabon,143.0,3.896,1.06024,0.43372,0.31914,0.06822,0.11091,0.99895,0.90528
Niger,Sub-Saharan Africa,144.0,3.845,0.03602,0.77265,0.47692,0.19387,1.87877,2015,,,,,Niger,144.0,3.845,0.0694,0.29707,0.47692,0.19387,0.15639,1.87877,0.77265
Cambodia,Southeastern Asia,145.0,3.819,0.05069,0.62736,0.66246,0.40359,0.98195,2015,,,,,Cambodia,145.0,3.819,0.46038,0.61114,0.66246,0.40359,0.07247,0.98195,0.62736
Tanzania,Sub-Saharan Africa,146.0,3.781,0.05061,1.00268,0.32878,0.34377,1.38079,2015,,,,,Tanzania,146.0,3.781,0.2852,0.38215,0.32878,0.34377,0.05747,1.38079,1.00268
Madagascar,Sub-Saharan Africa,147.0,3.681,0.03633,0.66801,0.19184,0.21333,1.851,2015,,,,,Madagascar,147.0,3.681,0.20824,0.46721,0.19184,0.21333,0.08124,1.851,0.66801
Central African Republic,Sub-Saharan Africa,148.0,3.678,0.06112,0.0,0.48879,0.23835,2.7223,2015,,,,,Central African Republic,148.0,3.678,0.0785,0.06699,0.48879,0.23835,0.08289,2.7223,0.0
Chad,Sub-Saharan Africa,149.0,3.667,0.0383,0.76062,0.23501,0.18386,1.94296,2015,,,,,Chad,149.0,3.667,0.34193,0.1501,0.23501,0.18386,0.05269,1.94296,0.76062
Guinea,Sub-Saharan Africa,150.0,3.656,0.0359,0.46475,0.37725,0.28657,1.99172,2015,,,,,Guinea,150.0,3.656,0.17417,0.24009,0.37725,0.28657,0.12139,1.99172,0.46475
Ivory Coast,Sub-Saharan Africa,151.0,3.655,0.05141,0.77115,0.46866,0.20165,1.41723,2015,,,,,Ivory Coast,151.0,3.655,0.46534,0.15185,0.46866,0.20165,0.17922,1.41723,0.77115
Burkina Faso,Sub-Saharan Africa,152.0,3.587,0.04324,0.85188,0.39493,0.21747,1.46494,2015,,,,,Burkina Faso,152.0,3.587,0.25812,0.27125,0.39493,0.21747,0.12832,1.46494,0.85188
Afghanistan,Southern Asia,153.0,3.575,0.03084,0.30285,0.23414,0.3651,1.9521,2015,,,,,Afghanistan,153.0,3.575,0.31982,0.30335,0.23414,0.3651,0.09719,1.9521,0.30285
Rwanda,Sub-Saharan Africa,154.0,3.465,0.03464,0.7737,0.59201,0.22628,0.67042,2015,,,,,Rwanda,154.0,3.465,0.22208,0.42864,0.59201,0.22628,0.55191,0.67042,0.7737
Benin,Sub-Saharan Africa,155.0,3.34,0.03656,0.35386,0.4845,0.1826,1.63328,2015,,,,,Benin,155.0,3.34,0.28665,0.3191,0.4845,0.1826,0.0801,1.63328,0.35386
Syria,Middle East and Northern Africa,156.0,3.006,0.05015,0.47489,0.15684,0.47179,0.32858,2015,,,,,Syria,156.0,3.006,0.6632,0.72193,0.15684,0.47179,0.18906,0.32858,0.47489
Burundi,Sub-Saharan Africa,157.0,2.905,0.08658,0.41587,0.1185,0.19727,1.83302,2015,,,,,Burundi,157.0,2.905,0.0153,0.22396,0.1185,0.19727,0.10062,1.83302,0.41587
Togo,Sub-Saharan Africa,158.0,2.839,0.06727,0.13995,0.36453,0.16681,1.56726,2015,,,,,Togo,158.0,2.839,0.20868,0.28443,0.36453,0.16681,0.10731,1.56726,0.13995
Denmark,Western Europe,1.0,7.526,,1.16374,0.57941,0.36171,2.73939,2016,7.46,7.592,,,Denmark,1.0,7.526,1.44178,0.79504,0.57941,0.36171,0.44453,2.73939,1.16374
Switzerland,Western Europe,2.0,7.509,,1.14524,0.58557,0.28083,2.69463,2016,7.428,7.59,,,Switzerland,2.0,7.509,1.52733,0.86303,0.58557,0.28083,0.41203,2.69463,1.14524
Iceland,Western Europe,3.0,7.501,,1.18326,0.56624,0.47678,2.83137,2016,7.333,7.669,,,Iceland,3.0,7.501,1.42666,0.86733,0.56624,0.47678,0.14975,2.83137,1.18326
Norway,Western Europe,4.0,7.498,,1.1269,0.59609,0.37895,2.66465,2016,7.421,7.575,,,Norway,4.0,7.498,1.57744,0.79579,0.59609,0.37895,0.35776,2.66465,1.1269
Finland,Western Europe,5.0,7.413,,1.13464,0.57104,0.25492,2.82596,2016,7.351,7.475,,,Finland,5.0,7.413,1.40598,0.81091,0.57104,0.25492,0.41004,2.82596,1.13464
Canada,North America,6.0,7.404,,1.0961,0.5737,0.44834,2.70485,2016,7.335,7.473,,,Canada,6.0,7.404,1.44015,0.8276,0.5737,0.44834,0.31329,2.70485,1.0961
Netherlands,Western Europe,7.0,7.339,,1.02912,0.55211,0.47416,2.70749,2016,7.284,7.394,,,Netherlands,7.0,7.339,1.46468,0.81231,0.55211,0.47416,0.29927,2.70749,1.02912
New Zealand,Australia and New Zealand,8.0,7.334,,1.17278,0.58147,0.49401,2.47553,2016,7.264,7.404,,,New Zealand,8.0,7.334,1.36066,0.83096,0.58147,0.49401,0.41904,2.47553,1.17278
Australia,Australia and New Zealand,9.0,7.313,,1.10476,0.56837,0.47407,2.5465,2016,7.241,7.385,,,Australia,9.0,7.313,1.44443,0.8512,0.56837,0.47407,0.32331,2.5465,1.10476
Sweden,Western Europe,10.0,7.291,,1.08764,0.58218,0.38254,2.54734,2016,7.227,7.355,,,Sweden,10.0,7.291,1.45181,0.83121,0.58218,0.38254,0.40867,2.54734,1.08764
Israel,Middle East and Northern Africa,11.0,7.267,,0.99537,0.36432,0.32288,3.31029,2016,7.199,7.335,,,Israel,11.0,7.267,1.33766,0.84917,0.36432,0.32288,0.08728,3.31029,0.99537
Austria,Western Europe,12.0,7.119,,1.08383,0.54355,0.32865,2.69343,2016,7.045,7.193,,,Austria,12.0,7.119,1.45038,0.80565,0.54355,0.32865,0.21348,2.69343,1.08383
United States,North America,13.0,7.104,,1.04782,0.48163,0.41077,2.72782,2016,7.02,7.188,,,United States,13.0,7.104,1.50796,0.779,0.48163,0.41077,0.14868,2.72782,1.04782
Costa Rica,Latin America and Caribbean,14.0,7.087,,1.02152,0.55225,0.22553,3.35168,2016,6.999,7.175,,,Costa Rica,14.0,7.087,1.06879,0.76146,0.55225,0.22553,0.10547,3.35168,1.02152
Puerto Rico,Latin America and Caribbean,15.0,7.039,,1.08113,0.46823,0.22202,3.0076,2016,6.794,7.284,,,Puerto Rico,15.0,7.039,1.35943,0.77758,0.46823,0.22202,0.12275,3.0076,1.08113
Germany,Western Europe,16.0,6.994,,1.09774,0.53466,0.30452,2.50931,2016,6.93,7.058,,,Germany,16.0,6.994,1.44787,0.81487,0.53466,0.30452,0.28551,2.50931,1.09774
Brazil,Latin America and Caribbean,17.0,6.952,,1.03938,0.40425,0.15776,3.50733,2016,6.875,7.029,,,Brazil,17.0,6.952,1.08754,0.61415,0.40425,0.15776,0.14166,3.50733,1.03938
Belgium,Western Europe,18.0,6.929,,1.05249,0.51354,0.2424,2.61355,2016,6.861,6.997,,,Belgium,18.0,6.929,1.42539,0.81959,0.51354,0.2424,0.26248,2.61355,1.05249
Ireland,Western Europe,19.0,6.907,,1.16157,0.54008,0.44963,2.15988,2016,6.836,6.978,,,Ireland,19.0,6.907,1.48341,0.81455,0.54008,0.44963,0.29754,2.15988,1.16157
Luxembourg,Western Europe,20.0,6.871,,1.03999,0.5487,0.27571,2.11055,2016,6.804,6.938,,,Luxembourg,20.0,6.871,1.69752,0.84542,0.5487,0.27571,0.35329,2.11055,1.03999
Mexico,Latin America and Caribbean,21.0,6.778,,0.7146,0.37709,0.11735,3.55906,2016,6.68,6.876,,,Mexico,21.0,6.778,1.11508,0.71143,0.37709,0.11735,0.18355,3.55906,0.7146
Singapore,Southeastern Asia,22.0,6.739,,0.86758,0.4877,0.32706,1.99375,2016,6.674,6.804,,,Singapore,22.0,6.739,1.64555,0.94719,0.4877,0.32706,0.46987,1.99375,0.86758
United Kingdom,Western Europe,23.0,6.725,,1.08672,0.50036,0.50156,2.14999,2016,6.647,6.803,,,United Kingdom,23.0,6.725,1.40283,0.80991,0.50036,0.50156,0.27399,2.14999,1.08672
Chile,Latin America and Caribbean,24.0,6.705,,0.90587,0.37789,0.31595,2.95505,2016,6.615,6.795,,,Chile,24.0,6.705,1.2167,0.81883,0.37789,0.31595,0.11451,2.95505,0.90587
Panama,Latin America and Caribbean,25.0,6.701,,0.98912,0.48927,0.2418,3.00559,2016,6.601,6.801,,,Panama,25.0,6.701,1.18306,0.70835,0.48927,0.2418,0.08423,3.00559,0.98912
Argentina,Latin America and Caribbean,26.0,6.65,,1.06612,0.42284,0.10989,3.12985,2016,6.56,6.74,,,Argentina,26.0,6.65,1.15137,0.69711,0.42284,0.10989,0.07296,3.12985,1.06612
Czech Republic,Central and Eastern Europe,27.0,6.596,,1.00793,0.41418,0.09929,2.96211,2016,6.515,6.677,,,Czech Republic,27.0,6.596,1.30915,0.76376,0.41418,0.09929,0.03986,2.96211,1.00793
United Arab Emirates,Middle East and Northern Africa,28.0,6.573,,0.87114,0.56215,0.26591,2.21507,2016,6.494,6.652,,,United Arab Emirates,28.0,6.573,1.57352,0.72993,0.56215,0.26591,0.35561,2.21507,0.87114
Uruguay,Latin America and Caribbean,29.0,6.545,,1.03143,0.54388,0.18056,2.67139,2016,6.456,6.634,,,Uruguay,29.0,6.545,1.18157,0.72183,0.54388,0.18056,0.21394,2.67139,1.03143
Malta,Western Europe,30.0,6.488,,1.09879,0.54994,0.56237,1.99032,2016,6.409,6.567,,,Malta,30.0,6.488,1.30782,0.80315,0.54994,0.56237,0.17554,1.99032,1.09879
Colombia,Latin America and Caribbean,31.0,6.481,,1.02169,0.44735,0.15626,3.17471,2016,6.384,6.578,,,Colombia,31.0,6.481,1.03032,0.59659,0.44735,0.15626,0.05399,3.17471,1.02169
France,Western Europe,32.0,6.478,,1.00508,0.46562,0.1216,2.4744,2016,6.397,6.559,,,France,32.0,6.478,1.39488,0.83795,0.46562,0.1216,0.17808,2.4744,1.00508
Thailand,Southeastern Asia,33.0,6.474,,1.04477,0.49553,0.58696,2.5796,2016,6.396,6.552,,,Thailand,33.0,6.474,1.0893,0.64915,0.49553,0.58696,0.02833,2.5796,1.04477
Saudi Arabia,Middle East and Northern Africa,34.0,6.379,,0.84829,0.37904,0.15457,2.61482,2016,6.287,6.471,,,Saudi Arabia,34.0,6.379,1.48953,0.59267,0.37904,0.15457,0.30008,2.61482,0.84829
Taiwan,Eastern Asia,34.0,6.379,,0.92624,0.32377,0.25495,2.61523,2016,6.305,6.453,,,Taiwan,34.0,6.379,1.39729,0.79565,0.32377,0.25495,0.0663,2.61523,0.92624
Qatar,Middle East and Northern Africa,36.0,6.375,,0.87964,0.56679,0.32388,1.58224,2016,6.178,6.572,,,Qatar,36.0,6.375,1.82427,0.71723,0.56679,0.32388,0.48049,1.58224,0.87964
Spain,Western Europe,37.0,6.361,,1.12945,0.37545,0.17665,2.39663,2016,6.288,6.434,,,Spain,37.0,6.361,1.34253,0.87896,0.37545,0.17665,0.06137,2.39663,1.12945
Algeria,Middle East and Northern Africa,38.0,6.355,,0.83309,0.21006,0.07044,3.40904,2016,6.227,6.483,,,Algeria,38.0,6.355,1.05266,0.61804,0.21006,0.07044,0.16157,3.40904,0.83309
Guatemala,Latin America and Caribbean,39.0,6.324,,0.87119,0.50379,0.28808,3.19863,2016,6.213,6.435,,,Guatemala,39.0,6.324,0.83454,0.54039,0.50379,0.28808,0.08701,3.19863,0.87119
Suriname,Latin America and Caribbean,40.0,6.269,,0.77866,0.52234,0.16665,3.06852,2016,6.073,6.465,,,Suriname,40.0,6.269,1.09686,0.50933,0.52234,0.16665,0.12692,3.06852,0.77866
Kuwait,Middle East and Northern Africa,41.0,6.239,,0.87758,0.43166,0.15965,2.28085,2016,6.154,6.324,,,Kuwait,41.0,6.239,1.61714,0.63569,0.43166,0.15965,0.23669,2.28085,0.87758
Bahrain,Middle East and Northern Africa,42.0,6.218,,0.94397,0.47375,0.17147,2.27405,2016,6.128,6.308,,,Bahrain,42.0,6.218,1.44024,0.65696,0.47375,0.17147,0.25772,2.27405,0.94397
Trinidad and Tobago,Latin America and Caribbean,43.0,6.168,,0.98569,0.48453,0.31935,2.51394,2016,5.95,6.386,,,Trinidad and Tobago,43.0,6.168,1.32572,0.52608,0.48453,0.31935,0.01241,2.51394,0.98569
Venezuela,Latin America and Caribbean,44.0,6.084,,1.03302,0.19847,0.0425,2.97468,2016,5.973,6.195,,,Venezuela,44.0,6.084,1.13367,0.61904,0.19847,0.0425,0.08304,2.97468,1.03302
Slovakia,Central and Eastern Europe,45.0,6.078,,1.08268,0.23391,0.13837,2.61065,2016,5.996,6.16,,,Slovakia,45.0,6.078,1.27973,0.70367,0.23391,0.13837,0.02947,2.61065,1.08268
El Salvador,Latin America and Caribbean,46.0,6.068,,0.80975,0.37269,0.08877,3.22134,2016,5.967,6.169,,,El Salvador,46.0,6.068,0.8737,0.596,0.37269,0.08877,0.10613,3.22134,0.80975
Malaysia,Southeastern Asia,47.0,6.005,,0.88025,0.39031,0.41474,2.35384,2016,5.921,6.089,,,Malaysia,47.0,6.005,1.25142,0.62366,0.39031,0.41474,0.09081,2.35384,0.88025
Nicaragua,Latin America and Caribbean,48.0,5.992,,0.89521,0.46582,0.29773,2.82428,2016,5.877,6.107,,,Nicaragua,48.0,5.992,0.69384,0.65213,0.46582,0.29773,0.16292,2.82428,0.89521
Uzbekistan,Central and Eastern Europe,49.0,5.987,,1.1681,0.60848,0.34326,2.34638,2016,5.896,6.078,,,Uzbekistan,49.0,5.987,0.73591,0.50163,0.60848,0.34326,0.28333,2.34638,1.1681
Italy,Western Europe,50.0,5.977,,1.04167,0.18827,0.16684,2.34918,2016,5.898,6.056,,,Italy,50.0,5.977,1.35495,0.85102,0.18827,0.16684,0.02556,2.34918,1.04167
Ecuador,Latin America and Caribbean,51.0,5.976,,0.85974,0.4027,0.10074,2.77366,2016,5.88,6.072,,,Ecuador,51.0,5.976,0.97306,0.68613,0.4027,0.10074,0.18037,2.77366,0.85974
Belize,Latin America and Caribbean,52.0,5.956,,0.68655,0.51231,0.23684,3.08039,2016,5.71,6.202,,,Belize,52.0,5.956,0.87616,0.45569,0.51231,0.23684,0.10771,3.08039,0.68655
Japan,Eastern Asia,53.0,5.921,,1.06054,0.46761,0.10224,1.80584,2016,5.85,5.992,,,Japan,53.0,5.921,1.38007,0.91491,0.46761,0.10224,0.18985,1.80584,1.06054
Kazakhstan,Central and Eastern Europe,54.0,5.919,,0.95544,0.4052,0.15011,2.49325,2016,5.837,6.001,,,Kazakhstan,54.0,5.919,1.22943,0.57386,0.4052,0.15011,0.11132,2.49325,0.95544
Moldova,Central and Eastern Europe,55.0,5.897,,0.83132,0.25202,0.19997,3.38007,2016,5.823,5.971,,,Moldova,55.0,5.897,0.69177,0.52309,0.25202,0.19997,0.01903,3.38007,0.83132
Russia,Central and Eastern Europe,56.0,5.856,,1.05261,0.32682,0.02736,2.59115,2016,5.789,5.923,,,Russia,56.0,5.856,1.23228,0.58991,0.32682,0.02736,0.03586,2.59115,1.05261
Poland,Central and Eastern Europe,57.0,5.835,,1.04685,0.4519,0.14443,2.20035,2016,5.749,5.921,,,Poland,57.0,5.835,1.24585,0.69058,0.4519,0.14443,0.055,2.20035,1.04685
South Korea,Eastern Asia,57.0,5.835,,0.72194,0.25168,0.18824,2.35015,2016,5.747,5.923,,,South Korea,57.0,5.835,1.35948,0.88645,0.25168,0.18824,0.07716,2.35015,0.72194
Bolivia,Latin America and Caribbean,59.0,5.822,,0.83779,0.50961,0.21698,2.91635,2016,5.74,5.904,,,Bolivia,59.0,5.822,0.79422,0.4697,0.50961,0.21698,0.07746,2.91635,0.83779
Lithuania,Central and Eastern Europe,60.0,5.813,,1.06411,0.18929,0.02025,2.60525,2016,5.734,5.892,,,Lithuania,60.0,5.813,1.2692,0.64674,0.18929,0.02025,0.0182,2.60525,1.06411
Belarus,Central and Eastern Europe,61.0,5.802,,1.04993,0.29091,0.13942,2.38582,2016,5.723,5.881,,,Belarus,61.0,5.802,1.13062,0.63104,0.29091,0.13942,0.17457,2.38582,1.04993
North Cyprus,Western Europe,62.0,5.771,,0.81826,0.43596,0.26322,1.93447,2016,5.67,5.872,,,North Cyprus,62.0,5.771,1.31141,0.84142,0.43596,0.26322,0.16578,1.93447,0.81826
Slovenia,Central and Eastern Europe,63.0,5.768,,1.05613,0.53164,0.25738,1.79522,2016,5.683,5.853,,,Slovenia,63.0,5.768,1.29947,0.79151,0.53164,0.25738,0.03635,1.79522,1.05613
Peru,Latin America and Caribbean,64.0,5.743,,0.81255,0.37502,0.14527,2.73117,2016,5.647,5.839,,,Peru,64.0,5.743,0.99602,0.62994,0.37502,0.14527,0.05292,2.73117,0.81255
Turkmenistan,Central and Eastern Europe,65.0,5.658,,1.03817,0.37408,0.22567,2.21489,2016,5.58,5.736,,,Turkmenistan,65.0,5.658,1.08017,0.44006,0.37408,0.22567,0.28467,2.21489,1.03817
Mauritius,Sub-Saharan Africa,66.0,5.648,,0.75695,0.46145,0.36951,2.20223,2016,5.507,5.789,,,Mauritius,66.0,5.648,1.14372,0.66189,0.46145,0.36951,0.05203,2.20223,0.75695
Libya,Middle East and Northern Africa,67.0,5.615,,0.95076,0.40672,0.17087,2.39374,2016,5.406,5.824,,,Libya,67.0,5.615,1.06688,0.52304,0.40672,0.17087,0.10339,2.39374,0.95076
Latvia,Central and Eastern Europe,68.0,5.56,,0.95025,0.27996,0.17445,2.20859,2016,5.486,5.634,,,Latvia,68.0,5.56,1.21788,0.63952,0.27996,0.17445,0.0889,2.20859,0.95025
Cyprus,Western Europe,69.0,5.546,,0.70697,0.29507,0.27906,2.04497,2016,5.442,5.65,,,Cyprus,69.0,5.546,1.31857,0.8488,0.29507,0.27906,0.05228,2.04497,0.70697
Paraguay,Latin America and Caribbean,70.0,5.538,,1.11111,0.46235,0.25296,2.16091,2016,5.453,5.623,,,Paraguay,70.0,5.538,0.89373,0.58295,0.46235,0.25296,0.07396,2.16091,1.11111
Romania,Central and Eastern Europe,71.0,5.528,,0.72803,0.36712,0.12889,2.45184,2016,5.427,5.629,,,Romania,71.0,5.528,1.1697,0.67602,0.36712,0.12889,0.00679,2.45184,0.72803
Estonia,Central and Eastern Europe,72.0,5.517,,1.05163,0.41511,0.08423,1.81985,2016,5.437,5.597,,,Estonia,72.0,5.517,1.27964,0.68098,0.41511,0.08423,0.18519,1.81985,1.05163
Jamaica,Latin America and Caribbean,73.0,5.51,,0.96372,0.43597,0.22245,2.35682,2016,5.315,5.705,,,Jamaica,73.0,5.51,0.89333,0.59469,0.43597,0.22245,0.04294,2.35682,0.96372
Croatia,Central and Eastern Europe,74.0,5.488,,0.60809,0.23907,0.18434,2.52462,2016,5.402,5.574,,,Croatia,74.0,5.488,1.18649,0.70524,0.23907,0.18434,0.04002,2.52462,0.60809
Hong Kong,Eastern Asia,75.0,5.458,,0.87021,0.48079,0.40097,0.92614,2016,5.362,5.554,,,Hong Kong,75.0,5.458,1.5107,0.95277,0.48079,0.40097,0.31647,0.92614,0.87021
Somalia,Sub-Saharan Africa,76.0,5.44,,0.33613,0.56778,0.27225,3.83772,2016,5.321,5.559,,,Somalia,76.0,5.44,0.0,0.11466,0.56778,0.27225,0.3118,3.83772,0.33613
Kosovo,Central and Eastern Europe,77.0,5.401,,0.66062,0.14396,0.27992,2.80998,2016,5.308,5.494,,,Kosovo,77.0,5.401,0.90145,0.54,0.14396,0.27992,0.06547,2.80998,0.66062
Turkey,Middle East and Northern Africa,78.0,5.389,,0.87717,0.23889,0.04707,2.29074,2016,5.295,5.483,,,Turkey,78.0,5.389,1.16492,0.64718,0.23889,0.04707,0.12348,2.29074,0.87717
Indonesia,Southeastern Asia,79.0,5.314,,0.87625,0.39237,0.56521,2.03171,2016,5.237,5.391,,,Indonesia,79.0,5.314,0.95104,0.49374,0.39237,0.56521,0.00322,2.03171,0.87625
Jordan,Middle East and Northern Africa,80.0,5.303,,0.86216,0.36023,0.14262,2.20142,2016,5.187,5.419,,,Jordan,80.0,5.303,0.99673,0.60712,0.36023,0.14262,0.13297,2.20142,0.86216
Azerbaijan,Central and Eastern Europe,81.0,5.291,,0.76042,0.35327,0.0564,2.2735,2016,5.226,5.356,,,Azerbaijan,81.0,5.291,1.12373,0.54504,0.35327,0.0564,0.17914,2.2735,0.76042
Philippines,Southeastern Asia,82.0,5.279,,0.87877,0.54854,0.21674,2.23484,2016,5.16,5.398,,,Philippines,82.0,5.279,0.81217,0.47036,0.54854,0.21674,0.11757,2.23484,0.87877
China,Eastern Asia,83.0,5.245,,0.79381,0.44012,0.04959,2.17087,2016,5.199,5.291,,,China,83.0,5.245,1.0278,0.73561,0.44012,0.04959,0.02745,2.17087,0.79381
Bhutan,Southern Asia,84.0,5.196,,0.90836,0.46074,0.48546,1.82916,2016,5.138,5.254,,,Bhutan,84.0,5.196,0.8527,0.49759,0.46074,0.48546,0.1616,1.82916,0.90836
Kyrgyzstan,Central and Eastern Europe,85.0,5.185,,0.95434,0.40212,0.38432,2.28136,2016,5.103,5.267,,,Kyrgyzstan,85.0,5.185,0.56044,0.55449,0.40212,0.38432,0.04762,2.28136,0.95434
Serbia,Central and Eastern Europe,86.0,5.177,,0.81329,0.15718,0.20737,2.27539,2016,5.083,5.271,,,Serbia,86.0,5.177,1.03437,0.6458,0.15718,0.20737,0.04339,2.27539,0.81329
Bosnia and Herzegovina,Central and Eastern Europe,87.0,5.163,,0.64367,0.09511,0.29889,2.48406,2016,5.063,5.263,,,Bosnia and Herzegovina,87.0,5.163,0.93383,0.70766,0.09511,0.29889,0.0,2.48406,0.64367
Montenegro,Central and Eastern Europe,88.0,5.161,,0.74173,0.15111,0.17191,2.25531,2016,5.055,5.267,,,Montenegro,88.0,5.161,1.07838,0.63533,0.15111,0.17191,0.12721,2.25531,0.74173
Dominican Republic,Latin America and Caribbean,89.0,5.155,,0.99496,0.52259,0.21286,1.69626,2016,5.037,5.273,,,Dominican Republic,89.0,5.155,1.02787,0.57669,0.52259,0.21286,0.12372,1.69626,0.99496
Morocco,Middle East and Northern Africa,90.0,5.151,,0.38595,0.25646,0.04053,2.94891,2016,5.058,5.244,,,Morocco,90.0,5.151,0.84058,0.59471,0.25646,0.04053,0.08404,2.94891,0.38595
Hungary,Central and Eastern Europe,91.0,5.145,,0.93164,0.1977,0.099,1.95473,2016,5.056,5.234,,,Hungary,91.0,5.145,1.24142,0.67608,0.1977,0.099,0.04472,1.95473,0.93164
Pakistan,Southern Asia,92.0,5.132,,0.26135,0.14622,0.31185,3.18286,2016,5.038,5.226,,,Pakistan,92.0,5.132,0.68816,0.40306,0.14622,0.31185,0.1388,3.18286,0.26135
Lebanon,Middle East and Northern Africa,93.0,5.129,,0.64184,0.26228,0.23693,2.07339,2016,5.031,5.227,,,Lebanon,93.0,5.129,1.12268,0.76171,0.26228,0.23693,0.03061,2.07339,0.64184
Portugal,Western Europe,94.0,5.123,,0.94367,0.44727,0.11691,1.53015,2016,5.03,5.216,,,Portugal,94.0,5.123,1.27607,0.79363,0.44727,0.11691,0.01521,1.53015,0.94367
Macedonia,Central and Eastern Europe,95.0,5.121,,0.78236,0.27668,0.23507,2.08947,2016,5.017,5.225,,,Macedonia,95.0,5.121,1.0193,0.64738,0.27668,0.23507,0.07047,2.08947,0.78236
Vietnam,Southeastern Asia,96.0,5.061,,0.79117,0.55954,0.25075,1.9418,2016,4.991,5.131,,,Vietnam,96.0,5.061,0.74037,0.66157,0.55954,0.25075,0.11556,1.9418,0.79117
Somaliland Region,Sub-Saharan Africa,97.0,5.057,,0.75862,0.3913,0.51479,2.43801,2016,4.934,5.18,,,Somaliland Region,97.0,5.057,0.25558,0.33108,0.3913,0.51479,0.36794,2.43801,0.75862
Tunisia,Middle East and Northern Africa,98.0,5.045,,0.43165,0.23553,0.03936,2.68413,2016,4.965,5.125,,,Tunisia,98.0,5.045,0.97724,0.59577,0.23553,0.03936,0.0817,2.68413,0.43165
Greece,Western Europe,99.0,5.033,,0.75473,0.05822,0.0,2.12944,2016,4.935,5.131,,,Greece,99.0,5.033,1.24886,0.80029,0.05822,0.0,0.04127,2.12944,0.75473
Tajikistan,Central and Eastern Europe,100.0,4.996,,0.75602,0.43408,0.25998,2.39106,2016,4.923,5.069,,,Tajikistan,100.0,4.996,0.48835,0.53119,0.43408,0.25998,0.13509,2.39106,0.75602
Mongolia,Eastern Asia,101.0,4.907,,1.08983,0.35972,0.34539,1.53586,2016,4.838,4.976,,,Mongolia,101.0,4.907,0.98853,0.55469,0.35972,0.34539,0.03285,1.53586,1.08983
Laos,Southeastern Asia,102.0,4.876,,0.5497,0.52168,0.43079,2.08637,2016,4.742,5.01,,,Laos,102.0,4.876,0.68042,0.38291,0.52168,0.43079,0.22423,2.08637,0.5497
Nigeria,Sub-Saharan Africa,103.0,4.875,,0.64498,0.27854,0.23219,2.88586,2016,4.75,5.0,,,Nigeria,103.0,4.875,0.75216,0.05108,0.27854,0.23219,0.0305,2.88586,0.64498
Honduras,Latin America and Caribbean,104.0,4.871,,0.75596,0.26755,0.2044,2.29551,2016,4.75,4.992,,,Honduras,104.0,4.871,0.69429,0.58383,0.26755,0.2044,0.06906,2.29551,0.75596
